HUMI,TEMP,cbwd,Iws,precipitation,PM,PM_Unsafe
0.412782301638697,0,cv,0.0975075727431294,0,129,1
0.365050535310672,0,SE,0.198973795350836,0,148,1
0.428230957710597,0,SE,0.279264459722159,0,159,1
0.690384933227127,0,SE,0.344535395212307,0,181,1
0.835247096262223,0,SE,0.445101188307035,0,138,1
0.835247096262223,0,SE,0.484450360720559,0,109,1
0.865393067078224,0,SE,0.518688962258337,0,105,1
0.865393067078224,0,SE,0.575784192668727,0,124,1
0.835247096262223,0,SE,0.621313254535516,0,120,1
0.835247096262223,0,SE,0.658549789833967,0,132,1
0.835247096262223,0,SE,0.689610208605494,0,140,1
0.835247096262223,0,SE,0.73315536127903,0,152,1
0.803745163362738,0,SE,0.766964005626972,0,148,1
0.803745163362738,0,SE,0.793967378191406,0,164,1
0.803745163362738,0,SE,0.821563410784068,0,158,1
0.765943923786581,0,SE,0.843440170131898,0,154,1
0.765943923786581,0,SE,0.861176639413438,0,159,1
0.765943923786581,0,SE,0.868029883331357,0,164,1
0.803745163362738,0,SE,0.874343127987093,0,170,1
0.803745163362738,0,SE,0.884257826859432,0,149,1
0.803745163362738,0,SE,0.889367620678875,0,154,1
0.835247096262223,0,SE,0.894120608251471,0,164,1
0.835247096262223,0,SE,0.901675548873651,0,156,1
0.835247096262223,0,SE,0.908397885627346,0,126,1
0.835247096262223,0,SE,0.914412135095534,0,90,1
0.865393067078224,0,SE,0.919819463590374,0.398611538852707,63,1
0.835247096262223,0,SE,0.92470290346098,0.461379531606917,65,1
0.865393067078224,0,SE,0.930315527612393,0.461379531606917,55,1
0.865393067078224,0,SE,0.934242276677051,0.557358885300424,65,1
0.865393067078224,0,SE,0.938796793528752,0.702190912350191,83,1
0.865393067078224,0,SE,0.942875994142233,0.557358885300424,91,1
0.835247096262223,0,SE,0.946546335204544,0.655420283867122,86,1
0.865393067078224,0,SE,0.949862697707797,0.557358885300424,82,1
0.865393067078224,0,SE,0.953506018488521,0.461379531606917,86,1
0.835247096262223,0,SE,0.956188360824078,0.557358885300424,78,1
0.835247096262223,0,SE,0.958639720635365,0.398611538852707,98,1
0.835247096262223,0,SE,0.961364113074929,0.461379531606917,107,1
0.835247096262223,0,SE,0.962956951513316,0.680225366458422,90,1
0.835247096262223,0,SE,0.965659628852212,0.461379531606917,96,1
0.835247096262223,0,SE,0.96772054557416,0.32161139355753,95,1
0.835247096262223,0,SE,0.969599408259079,0.461379531606917,86,1
0.835247096262223,0,SE,0.970709834047997,0.225455382084051,70,1
0.835247096262223,0,SE,0.971760080820753,0.105494163367117,61,1
0.835247096262223,0,cv,0.0975075727431294,0.398611538852707,53,1
0.835247096262223,0,cv,0.197967059205336,0.32161139355753,71,1
0.865393067078224,0,NW,0.373135011818532,0,72,1
0.865393067078224,0,NW,0.519048615702109,0,76,1
0.835247096262223,0,NW,0.631356585531968,0,73,1
0.865393067078224,0,NW,0.689610208605494,0,79,1
0.835247096262223,0,NW,0.715932059153196,0,58,1
0.614415148386025,0,NW,0.779231604869821,0,25,1
0.614415148386025,0,NW,0.83434236480376,0,26,1
0.614415148386025,0,NW,0.875852497363337,0,28,1
0.554676828249526,0,NW,0.900643888403984,0,26,1
0.554676828249526,0,NW,0.915206852574827,0,20,0
0.501418362760603,0,NW,0.929117742379736,0,29,1
0.554676828249526,0,NW,0.939738330008286,0,26,1
0.487351914897539,0,NW,0.946546335204544,0,27,1
